Czas (s),Kana³ 1 (g),Kana³ 2 (g),Kana³ 3 (g),Kana³ 4 (g)
1.580079003950197319e-02,4.153076079923881392e-02,1.563221830855018868e-02,3.007936834123224254e-02,2.080314490000000419e-02
1.590079503975198524e-02,3.996293939105612786e-02,1.398988847583643516e-02,2.562190037914692867e-02,2.257320920000000300e-02
1.600080004000200076e-02,3.560787992388202150e-02,1.319703959107807086e-02,2.845847090047394848e-02,2.531986070000000200e-02
1.610080504025201281e-02,3.752410608943863163e-02,1.308377546468401584e-02,2.180121355450239176e-02,1.695783280000000282e-02
1.620081004050202486e-02,3.322711408182681819e-02,1.280061514869887916e-02,2.046976208530808250e-02,2.373290650000000127e-02
1.630081504075203691e-02,3.131088791627020806e-02,1.138481356877323394e-02,2.029609450236968121e-02,2.483156710000000711e-02
1.640082004100204896e-02,3.404005851569933544e-02,1.574548243494424196e-02,2.052765127962087252e-02,1.988759440000000336e-02
1.650082504125206101e-02,3.345938392007610090e-02,1.229092657992565327e-02,2.452200568720380724e-02,2.922620949999999926e-02
1.660083004150207306e-02,3.067214586108467714e-02,1.574548243494424196e-02,2.556401118483413518e-02,2.348875970000000382e-02
1.670083504175208858e-02,3.183349505233111498e-02,1.047870055762081636e-02,2.249588388625594487e-02,2.049796140000000391e-02
1.680084004200210063e-02,2.765263796384394637e-02,9.176163104089226155e-03,1.566495895734599034e-02,2.062003480000000263e-02
1.690084504225211268e-02,2.596868163653661896e-02,8.043521840148698532e-03,1.821208350710902535e-02,2.080314490000000419e-02
1.700085004250212473e-02,2.753650304471930502e-02,6.910880576208190858e-03,2.023820530805689119e-02,2.287839270000000327e-02
1.710085504275213678e-02,2.887205461465270837e-02,7.590465334572499279e-03,1.699641042654029960e-02,2.013174120000000428e-02
1.720086004300214882e-02,2.596868163653661896e-02,6.910880576208190858e-03,1.491239943127964547e-02,2.354979640000000318e-02
1.730086504325216087e-02,2.364598325404376061e-02,1.127154944237917893e-02,1.850152947867301015e-02,2.062003480000000263e-02
1.740087004350217292e-02,2.283303882017126765e-02,1.149807769516728896e-02,1.537551298578200554e-02,2.770029200000000483e-02
1.750087504375218844e-02,2.074261027592767467e-02,7.703729460966554296e-03,1.595440492890997167e-02,2.275631930000000108e-02
1.760088004400220049e-02,2.080067773548999535e-02,8.779738661710034461e-03,1.664907526066352478e-02,2.092521830000000291e-02
1.770088504425221254e-02,2.143941979067554710e-02,3.343060594795544977e-03,1.572284815165878036e-02,2.593022770000000254e-02
1.780089004450222459e-02,2.022000313986678510e-02,7.816993587360588497e-03,1.369672635071091799e-02,2.330564960000000227e-02
1.790089504475223664e-02,2.033613805899142646e-02,1.757362825278818317e-03,1.589651573459718165e-02,2.031485130000000236e-02
1.800090004500224869e-02,1.696822540437677163e-02,5.778239312267663234e-03,1.572284815165878036e-02,2.257320920000000300e-02
1.810090504525226074e-02,1.127761436726925845e-02,7.873625650557616873e-03,8.834034028436034067e-03,1.756819980000000336e-02
1.820091004550227279e-02,1.203249134157945155e-02,2.550211710037181539e-03,1.404406151658769454e-02,2.354979640000000318e-02
1.830091504575228831e-02,1.075500723120837061e-02,4.928758364312272287e-03,1.091804502369671075e-02,2.013174120000000428e-02
1.840092004600230036e-02,1.069693977164604994e-02,3.909381226765798814e-03,1.236527488151660699e-02,2.239009910000000145e-02
1.850092504625231241e-02,6.167677925784954655e-03,1.077778066914509680e-03,7.097358199052154759e-03,1.823960350000000327e-02
1.860093004650232446e-02,5.932018078020831605e-04,-2.247593866171004157e-04,5.360682369668275452e-03,2.568608090000000510e-02
1.870093504675233650e-02,-9.045996479543294555e-03,-5.434909200743499869e-03,-1.701799336492870176e-03,1.384496110000000071e-02
1.880094004700234855e-02,-9.220198858230258324e-03,-3.056362546468389604e-03,-5.175150995260650692e-03,2.123040180000000318e-02
1.890094504725236060e-02,-9.568603615604194534e-03,-3.509419052044608807e-03,-3.206918388625579642e-03,2.104729170000000163e-02
1.900095004750237265e-02,-1.223970675547098735e-02,-7.077239033457254254e-03,-7.027605213270115246e-03,2.055899810000000327e-02
